"Language","original","english","german","russian","czech","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"GasMask_MK10_Filter_DSC","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 20 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 20 Min","Erforderlich für den Einsatz in einer Gasmaske zum Schutz der Atemwege vor radioaktiven Substanzen und anderen luftgetragenen Verunreinigungen. Laufzeit: 20 Min","Требуется для использования в противогазе для защиты дыхательной системы от твердых радиоактивных веществ и других загрязняющих веществ в воздухе. Продолжительность: 20 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 20 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 20 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 20 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 20 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 20 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 20 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 20 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 20 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 20 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 20 Min",
"GasMask_P2","Gas mask (P2)","Gas mask (P2)","Gasmaske (P2)","Противогаз (P2)","Gas mask (P2)","Gas mask (P2)","Gas mask (P2)","Gas mask (P2)","Gas mask (P2)","Gas mask (P2)","Gas mask (P2)","Gas mask (P2)","Gas mask (P2)","Gas mask (P2)",
"GasMask_P2_DSC","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Persönliche Schutzausrüstung zum Schutz der Atmungsorgane, des Gesichts und der Augen vor radioaktivem Staub und giftigen Substanzen.","Индивидуальное средство защиты органов дыхания, кожи лица и органов зрения от радиоактивной пыли и токсичных веществ.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.",
"GasMask_P2_Black","Gas mask (P2)","Gas mask (P2)","Gasmaske (P2)","Противогаз (P2)","Gas mask (P2)","Gas mask (P2)","Gas mask (P2)","Gas mask (P2)","Gas mask (P2)","Gas mask (P2)","Gas mask (P2)","Gas mask (P2)","Gas mask (P2)","Gas mask (P2)",
"GasMask_P2_Black_DSC","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Persönliche Schutzausrüstung zum Schutz der Atmungsorgane, des Gesichts und der Augen vor radioaktivem Staub und giftigen Substanzen.","Индивидуальное средство защиты органов дыхания, кожи лица и органов зрения от радиоактивной пыли и токсичных веществ.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.",
"GasMask_P2_Duty","Gas mask (P2) (Duty)","Gas mask (P2) (Duty)","Gasmaske (P2) (Duty)","Противогаз (P2) (Duty)","Gas mask (P2) (Duty)","Gas mask (P2) (Duty)","Gas mask (P2) (Duty)","Gas mask (P2) (Duty)","Gas mask (P2) (Duty)","Gas mask (P2) (Duty)","Gas mask (P2) (Duty)","Gas mask (P2) (Duty)","Gas mask (P2) (Duty)","Gas mask (P2) (Duty)",
"GasMask_P2_Duty_DSC","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Persönliche Schutzausrüstung zum Schutz der Atmungsorgane, des Gesichts und der Augen vor radioaktivem Staub und giftigen Substanzen.","Индивидуальное средство защиты органов дыхания, кожи лица и органов зрения от радиоактивной пыли и токсичных веществ.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.",
"GasMask_P2_Filter","Gas mask filter (P2)","Gas mask filter (P2)","Gasmaskenfilter (P2)","Фильтр от противогаза (P2)","Gas mask filter (P2)","Gas mask filter (P2)","Gas mask filter (P2)","Gas mask filter (P2)","Gas mask filter (P2)","Gas mask filter (P2)","Gas mask filter (P2)","Gas mask filter (P2)","Gas mask filter (P2)","Gas mask filter (P2)",
"GasMask_P2_Filter_DSC","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 30 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 30 Min","Erforderlich für den Einsatz in einer Gasmaske zum Schutz der Atemwege vor radioaktiven Substanzen und anderen luftgetragenen Verunreinigungen. Laufzeit: 30 Min","Требуется для использования в противогазе для защиты дыхательной системы от твердых радиоактивных веществ и других загрязняющих веществ в воздухе. Продолжительность: 30 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 30 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 30 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 30 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 30 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 30 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 30 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 30 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 30 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 30 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 30 Min",
"GasMask_P2_Filter_Duty","Gas mask filter (P2) (Duty)","Gas mask filter (P2) (Duty)","Gasmaskenfilter (P2) (Duty)","Фильтр от противогаза (P2) (Duty)","Gas mask filter (P2) (Duty)","Gas mask filter (P2) (Duty)","Gas mask filter (P2) (Duty)","Gas mask filter (P2) (Duty)","Gas mask filter (P2) (Duty)","Gas mask filter (P2) (Duty)","Gas mask filter (P2) (Duty)","Gas mask filter (P2) (Duty)","Gas mask filter (P2) (Duty)","Gas mask filter (P2) (Duty)",
"GasMask_P2_Filter_Duty_DSC","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 45 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 45 Min","Erforderlich für den Einsatz in einer Gasmaske zum Schutz der Atemwege vor radioaktiven Substanzen und anderen luftgetragenen Verunreinigungen. Laufzeit: 45 Min","Требуется для использования в противогазе для защиты дыхательной системы от твердых радиоактивных веществ и других загрязняющих веществ в воздухе. Продолжительность: 45 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 45 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 45 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 45 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 45 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 45 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 45 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 45 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 45 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 45 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 45 Min",
"GasMask_PFBP1","Gas mask (PFBP1)","Gas mask (PFBP1)","Gasmaske (PFBP1)","Противогаз (PFBP1)","Gas mask (PFBP1)","Gas mask (PFBP1)","Gas mask (PFBP1)","Gas mask (PFBP1)","Gas mask (PFBP1)","Gas mask (PFBP1)","Gas mask (PFBP1)","Gas mask (PFBP1)","Gas mask (PFBP1)","Gas mask (PFBP1)",
"GasMask_PFBP1_DSC","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Persönliche Schutzausrüstung zum Schutz der Atmungsorgane, des Gesichts und der Augen vor radioaktivem Staub und giftigen Substanzen.","Индивидуальное средство защиты органов дыхания, кожи лица и органов зрения от радиоактивной пыли и токсичных веществ.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.",
"GasMask_PFBP1_Filter","Gas mask filter (PFBP1)","Gas mask filter (PFBP1)","Gasmaskenfilter (PFBP1)","Фильтр от противогаза (PFBP1)","Gas mask filter (PFBP1)","Gas mask filter (PFBP1)","Gas mask filter (PFBP1)","Gas mask filter (PFBP1)","Gas mask filter (PFBP1)","Gas mask filter (PFBP1)","Gas mask filter (PFBP1)","Gas mask filter (PFBP1)","Gas mask filter (PFBP1)","Gas mask filter (PFBP1)",
"GasMask_PFBP1_Filter_DSC","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 30 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 30 Min","Erforderlich für den Einsatz in einer Gasmaske zum Schutz der Atemwege vor radioaktiven Substanzen und anderen luftgetragenen Verunreinigungen. Laufzeit: 30 Min","Требуется для использования в противогазе для защиты дыхательной системы от твердых радиоактивных веществ и других загрязняющих веществ в воздухе. Продолжительность: 30 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 30 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 30 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 30 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 30 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 30 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 30 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 30 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 30 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 30 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 30 Min",
"GasMask_PMG4","Gas mask (PMG4)","Gas mask (PMG4)","Gasmaske (PMG4)","Противогаз (PMG4)","Gas mask (PMG4)","Gas mask (PMG4)","Gas mask (PMG4)","Gas mask (PMG4)","Gas mask (PMG4)","Gas mask (PMG4)","Gas mask (PMG4)","Gas mask (PMG4)","Gas mask (PMG4)","Gas mask (PMG4)",
"GasMask_PMG4_DSC","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Persönliche Schutzausrüstung zum Schutz der Atmungsorgane, des Gesichts und der Augen vor radioaktivem Staub und giftigen Substanzen.","Индивидуальное средство защиты органов дыхания, кожи лица и органов зрения от радиоактивной пыли и токсичных веществ.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.",
"GasMask_PMG4_Filter","Gas mask filter (PMG4)","Gas mask filter (PMG4)","Gasmaskenfilter (PMG4)","Фильтр от противогаза (PMG4)","Gas mask filter (PMG4)","Gas mask filter (PMG4)","Gas mask filter (PMG4)","Gas mask filter (PMG4)","Gas mask filter (PMG4)","Gas mask filter (PMG4)","Gas mask filter (PMG4)","Gas mask filter (PMG4)","Gas mask filter (PMG4)","Gas mask filter (PMG4)",
"GasMask_PMG4_Filter_DSC","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 30 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 30 Min","Erforderlich für den Einsatz in einer Gasmaske zum Schutz der Atemwege vor radioaktiven Substanzen und anderen luftgetragenen Verunreinigungen. Laufzeit: 30 Min","Требуется для использования в противогазе для защиты дыхательной системы от твердых радиоактивных веществ и других загрязняющих веществ в воздухе. Продолжительность: 30 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 30 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 30 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 30 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 30 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 30 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 30 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 30 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 30 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 30 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 30 Min",
"GasMask_RSH4","Gas mask (RSH4)","Gas mask (RSH4)","Gasmaske (RSH4)","Противогаз (RSH4)","Gas mask (RSH4)","Gas mask (RSH4)","Gas mask (RSH4)","Gas mask (RSH4)","Gas mask (RSH4)","Gas mask (RSH4)","Gas mask (RSH4)","Gas mask (RSH4)","Gas mask (RSH4)","Gas mask (RSH4)",
"GasMask_RSH4_DSC","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Persönliche Schutzausrüstung zum Schutz der Atmungsorgane, des Gesichts und der Augen vor radioaktivem Staub und giftigen Substanzen.","Индивидуальное средство защиты органов дыхания, кожи лица и органов зрения от радиоактивной пыли и токсичных веществ.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.",
"GasMask_RSH4_Filter","Gas mask filter (RSH4)","Gas mask filter (RSH4)","Gasmaskenfilter (RSH4)","Фильтр от противогаза (RSH4)","Gas mask filter (RSH4)","Gas mask filter (RSH4)","Gas mask filter (RSH4)","Gas mask filter (RSH4)","Gas mask filter (RSH4)","Gas mask filter (RSH4)","Gas mask filter (RSH4)","Gas mask filter (RSH4)","Gas mask filter (RSH4)","Gas mask filter (RSH4)",
"GasMask_RSH4_Filter_DSC","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 20 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 20 Min","Erforderlich für den Einsatz in einer Gasmaske zum Schutz der Atemwege vor radioaktiven Substanzen und anderen luftgetragenen Verunreinigungen. Laufzeit: 20 Min","Требуется для использования в противогазе для защиты дыхательной системы от твердых радиоактивных веществ и других загрязняющих веществ в воздухе. Продолжительность: 20 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 20 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 20 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 20 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 20 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 20 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 20 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 20 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 20 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 20 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 20 Min",
"GasMask_S10","Gas mask (S10)","Gas mask (S10)","Gasmaske (S10)","Противогаз (S10)","Gas mask (S10)","Gas mask (S10)","Gas mask (S10)","Gas mask (S10)","Gas mask (S10)","Gas mask (S10)","Gas mask (S10)","Gas mask (S10)","Gas mask (S10)","Gas mask (S10)",
"GasMask_S10_DSC","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Persönliche Schutzausrüstung zum Schutz der Atmungsorgane, des Gesichts und der Augen vor radioaktivem Staub und giftigen Substanzen.","Индивидуальное средство защиты органов дыхания, кожи лица и органов зрения от радиоактивной пыли и токсичных веществ.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.",
"GasMask_S10SMG","Gas mask (S10SMG)","Gas mask (S10SMG)","Gasmaske (S10SMG)","Противогаз (S10SMG)","Gas mask (S10SMG)","Gas mask (S10SMG)","Gas mask (S10SMG)","Gas mask (S10SMG)","Gas mask (S10SMG)","Gas mask (S10SMG)","Gas mask (S10SMG)","Gas mask (S10SMG)","Gas mask (S10SMG)","Gas mask (S10SMG)",
"GasMask_S10SMG_DSC","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Persönliche Schutzausrüstung zum Schutz der Atmungsorgane, des Gesichts und der Augen vor radioaktivem Staub und giftigen Substanzen.","Индивидуальное средство защиты органов дыхания, кожи лица и органов зрения от радиоактивной пыли и токсичных веществ.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.",
"GasMask_S10_Filter","Gas mask filter (S10/S10SMG)","Gas mask filter (S10/S10SMG)","Gasmaskenfilter (S10/S10SMG)","Фильтр от противогаза (S10/S10SMG)","Gas mask filter (S10/S10SMG)","Gas mask filter (S10/S10SMG)","Gas mask filter (S10/S10SMG)","Gas mask filter (S10/S10SMG)","Gas mask filter (S10/S10SMG)","Gas mask filter (S10/S10SMG)","Gas mask filter (S10/S10SMG)","Gas mask filter (S10/S10SMG)","Gas mask filter (S10/S10SMG)","Gas mask filter (S10/S10SMG)",
"GasMask_S10_Filter_DSC","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 30 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 30 Min","Erforderlich für den Einsatz in einer Gasmaske zum Schutz der Atemwege vor radioaktiven Substanzen und anderen luftgetragenen Verunreinigungen. Laufzeit: 30 Min","Требуется для использования в противогазе для защиты дыхательной системы от твердых радиоактивных веществ и других загрязняющих веществ в воздухе. Продолжительность: 30 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 30 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 30 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 30 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 30 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 30 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 30 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 30 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 30 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 30 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 30 Min",
"GasMask_WW1","Gas mask (WW1)","Gas mask (WW1)","Gasmaske (WW1)","Противогаз (WW1)","Gas mask (WW1)","Gas mask (WW1)","Gas mask (WW1)","Gas mask (WW1)","Gas mask (WW1)","Gas mask (WW1)","Gas mask (WW1)","Gas mask (WW1)","Gas mask (WW1)","Gas mask (WW1)",
"GasMask_WW1_DSC","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Persönliche Schutzausrüstung zum Schutz der Atmungsorgane, des Gesichts und der Augen vor radioaktivem Staub und giftigen Substanzen.","Индивидуальное средство защиты органов дыхания, кожи лица и органов зрения от радиоактивной пыли и токсичных веществ.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.",
"GasMask_WW1_Filter","Gas mask filter (WW1)","Gas mask filter (WW1)","Gasmaskenfilter (WW1)","Фильтр от противогаза (WW1)","Gas mask filter (WW1)","Gas mask filter (WW1)","Gas mask filter (WW1)","Gas mask filter (WW1)","Gas mask filter (WW1)","Gas mask filter (WW1)","Gas mask filter (WW1)","Gas mask filter (WW1)","Gas mask filter (WW1)","Gas mask filter (WW1)",
